epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
86,6386.61,1.49397,0.94525,0.87285,0.47093,0.3409,0.31967,0.17607,1.50974,1.02934,0.89146,0.000198125,0.000198125,0.000198125
87,6465.14,1.46823,0.94131,0.87561,0.4831,0.32958,0.31794,0.17432,1.50769,1.0313,0.89069,0.00018575,0.00018575,0.00018575
88,6581.97,1.50367,0.94597,0.87175,0.46681,0.34275,0.32273,0.17804,1.50035,1.02069,0.88976,0.000173375,0.000173375,0.000173375
89,6659.22,1.47397,0.93036,0.87258,0.44841,0.34138,0.31893,0.17582,1.50375,1.02969,0.89049,0.000161,0.000161,0.000161
90,6737.02,1.45993,0.91916,0.87203,0.46387,0.34103,0.32188,0.17669,1.50499,1.02205,0.8902,0.000148625,0.000148625,0.000148625
91,6838.42,1.41722,0.92152,0.87416,0.47628,0.32397,0.31157,0.17081,1.52412,1.05282,0.89551,0.00013625,0.00013625,0.00013625
92,6912.37,1.41018,0.89062,0.86887,0.47459,0.33065,0.31198,0.17156,1.52271,1.04619,0.89426,0.000123875,0.000123875,0.000123875
93,6986.35,1.39212,0.8793,0.86973,0.46607,0.33018,0.3104,0.16928,1.5269,1.04974,0.89371,0.0001115,0.0001115,0.0001115
94,7060.35,1.3985,0.87424,0.87048,0.47576,0.3367,0.31741,0.1749,1.51352,1.03627,0.89279,9.9125e-05,9.9125e-05,9.9125e-05
95,7134.39,1.40301,0.87942,0.87037,0.46755,0.33498,0.31541,0.17314,1.51314,1.03743,0.89237,8.675e-05,8.675e-05,8.675e-05
96,7208.27,1.40051,0.87361,0.87031,0.46895,0.33624,0.31529,0.17272,1.52126,1.03394,0.89346,7.4375e-05,7.4375e-05,7.4375e-05
97,7279.95,1.39863,0.8726,0.8652,0.47214,0.33688,0.31755,0.1746,1.51082,1.03106,0.8915,6.2e-05,6.2e-05,6.2e-05
98,7350.27,1.38461,0.86586,0.86564,0.46688,0.34319,0.31931,0.17586,1.50316,1.02972,0.89014,4.9625e-05,4.9625e-05,4.9625e-05
99,7422.79,1.37945,0.85827,0.86737,0.47487,0.34089,0.32007,0.17624,1.50621,1.02593,0.89047,3.725e-05,3.725e-05,3.725e-05
100,7497.37,1.37457,0.85334,0.86527,0.4675,0.34278,0.31915,0.17576,1.50514,1.02774,0.89039,2.4875e-05,2.4875e-05,2.4875e-05
